"Trial","Year","AgeBucket","Age","Female","Male"
1,2024,1,95,0,2
1,2024,1,96,0,2
1,2024,1,97,0,2
1,2024,1,98,0,2
1,2024,1,99,0,2
1,2024,1,100,0,2
1,2025,1,0,95,95
1,2025,1,1,94,94
1,2025,1,2,88,86
1,2025,1,3,92,91
1,2025,1,4,89,89
1,2025,1,5,45,43
1,2025,1,6,45,44
1,2025,1,7,44,44
1,2025,1,8,44,44
1,2025,1,9,43,44
1,2025,1,10,43,44
1,2025,1,11,42,44
1,2025,1,12,42,45
1,2025,1,13,41,45
1,2025,1,14,41,45
1,2025,1,15,40,45
1,2025,1,16,40,45
1,2025,1,17,39,45
1,2025,1,18,39,45
1,2025,1,19,38,45
1,2025,1,20,38,45
1,2025,1,21,38,45
1,2025,1,22,37,45
1,2025,1,23,37,45
1,2025,1,24,36,45
1,2025,1,25,36,44
1,2025,1,26,35,44
1,2025,1,27,34,44
1,2025,1,28,34,43
1,2025,1,29,33,43
1,2025,1,30,33,42
1,2025,1,31,32,42
1,2025,1,32,32,41
1,2025,1,33,31,40
1,2025,1,34,31,39
1,2025,1,35,30,39
1,2025,1,36,29,38
1,2025,1,37,29,37
1,2025,1,38,28,36
1,2025,1,39,28,35
1,2025,1,40,27,34
1,2025,1,41,26,33
1,2025,1,42,26,32
1,2025,1,43,25,31
1,2025,1,44,24,30
1,2025,1,45,24,29
1,2025,1,46,23,28
1,2025,1,47,22,27
1,2025,1,48,21,26
1,2025,1,49,20,25
1,2025,1,50,20,24
1,2025,1,51,19,23
1,2025,1,52,18,22
1,2025,1,53,17,20
1,2025,1,54,16,19
1,2025,1,55,16,18
1,2025,1,56,15,17
1,2025,1,57,14,16
1,2025,1,58,13,15
1,2025,1,59,12,14
1,2025,1,60,12,13
1,2025,1,61,11,12
1,2025,1,62,10,12
1,2025,1,63,9,11
1,2025,1,64,9,10
1,2025,1,65,8,9
1,2025,1,66,7,8
1,2025,1,67,7,8
1,2025,1,68,6,7
1,2025,1,69,6,6
1,2025,1,70,5,6
1,2025,1,71,5,5
1,2025,1,72,4,5
1,2025,1,73,4,4
1,2025,1,74,4,4
1,2025,1,75,3,4
1,2025,1,76,3,3
1,2025,1,77,3,3
1,2025,1,78,2,3
1,2025,1,79,2,3
1,2025,1,80,2,3
1,2025,1,81,2,2
1,2025,1,82,2,2
1,2025,1,83,1,2
1,2025,1,84,1,2
1,2025,1,85,1,2
1,2025,1,86,1,2
1,2025,1,87,1,2
1,2025,1,88,1,2
1,2025,1,89,1,2
1,2025,1,90,1,2
1,2025,1,91,1,2
1,2025,1,92,1,2
1,2025,1,93,1,2
1,2025,1,94,1,2
1,2025,1,95,1,2
1,2025,1,96,0,2
1,2025,1,97,0,2
1,2025,1,98,0,2
1,2025,1,99,0,2
1,2025,1,100,0,2
1,2026,1,0,102,102
1,2026,1,1,95,95
1,2026,1,2,94,94
1,2026,1,3,88,86
1,2026,1,4,92,91
1,2026,1,5,89,89
1,2026,1,6,45,43
1,2026,1,7,45,44
1,2026,1,8,44,44
1,2026,1,9,44,44
1,2026,1,10,43,44
1,2026,1,11,43,44
1,2026,1,12,42,44
1,2026,1,13,42,45
1,2026,1,14,41,45
1,2026,1,15,41,45
1,2026,1,16,40,45
1,2026,1,17,40,45
1,2026,1,18,39,45
1,2026,1,19,39,45
1,2026,1,20,38,45
1,2026,1,21,38,45
1,2026,1,22,38,45
1,2026,1,23,37,45
1,2026,1,24,37,45
1,2026,1,25,36,45
1,2026,1,26,36,44
1,2026,1,27,35,44
1,2026,1,28,34,44
1,2026,1,29,34,43
1,2026,1,30,33,43
1,2026,1,31,33,42
1,2026,1,32,32,42
1,2026,1,33,32,41
1,2026,1,34,31,40
1,2026,1,35,31,39
1,2026,1,36,30,39
1,2026,1,37,29,38
1,2026,1,38,29,37
1,2026,1,39,28,36
1,2026,1,40,28,35
1,2026,1,41,27,34
1,2026,1,42,26,33
1,2026,1,43,26,32
1,2026,1,44,25,31
1,2026,1,45,24,30
1,2026,1,46,24,29
1,2026,1,47,23,28
1,2026,1,48,22,27
1,2026,1,49,21,26
1,2026,1,50,20,25
1,2026,1,51,20,24
1,2026,1,52,19,23
